run_id,model,dataset,accuracy,f1_score,auroc,mcc
0,D3M,uci,0.7666666666666667,0.7585513078470825,0.8634049773755657,0.5211317366305332
0,Reg,uci,0.7583333333333333,0.7491168625189244,0.8651018099547512,0.5036817688616093
1,D3M,uci,0.7416666666666667,0.72994555353902,0.8461538461538461,0.46877953662033967
1,Reg,uci,0.75,0.7395833333333333,0.8569004524886877,0.4862358886039942
2,D3M,uci,0.7666666666666667,0.7532314923619272,0.8710407239819005,0.5232166435699436
2,Reg,uci,0.7666666666666667,0.7585513078470825,0.8617081447963801,0.5211317366305332
3,D3M,uci,0.75,0.7333333333333334,0.8441742081447964,0.48925038066281723
3,Reg,uci,0.7666666666666667,0.7551734188283299,0.8684954751131222,0.5218129906160587
4,D3M,uci,0.725,0.7125226860254084,0.8444570135746606,0.4337087483445038
4,Reg,uci,0.7916666666666666,0.7822141560798548,0.8718891402714932,0.5739919014478473
5,D3M,uci,0.8,0.7930439781546421,0.8444570135746606,0.5903085158292766
5,Reg,uci,0.775,0.769214331505093,0.8673642533936652,0.5394333458937649
6,D3M,uci,0.7666666666666667,0.7551734188283299,0.8679298642533937,0.5218129906160587
6,Reg,uci,0.775,0.7647912885662431,0.8769796380090498,0.5389211131720114
7,D3M,uci,0.7666666666666667,0.7569444444444444,0.8509615384615384,0.5211332011832283
7,Reg,uci,0.7583333333333333,0.7491168625189244,0.8611425339366516,0.5036817688616093
8,D3M,uci,0.7666666666666667,0.7634469163615882,0.856052036199095,0.5273280443046439
8,Reg,uci,0.7666666666666667,0.7585513078470825,0.8696266968325792,0.5211317366305332
9,D3M,uci,0.7666666666666667,0.7585513078470825,0.8659502262443439,0.5211317366305332
9,Reg,uci,0.7666666666666667,0.7532314923619272,0.8755656108597285,0.5232166435699436
0,D3M,cifar10,0.7116,0.710695263856981,0.9597232799539182,0.6809763004806173
0,Reg,cifar10,0.7211,0.7193581542237779,0.9613435010401782,0.6912210901378991
1,D3M,cifar10,0.7049,0.6997506961652988,0.9584288262584281,0.6741413593286505
1,Reg,cifar10,0.7275,0.7226063114101082,0.9629524847163096,0.6983186913916976
2,D3M,cifar10,0.7155,0.7147893939115019,0.9568332712521617,0.6840940943081287
2,Reg,cifar10,0.7385,0.7376074944710613,0.9639025239763607,0.7100443268471939
3,D3M,cifar10,0.6945,0.6915855638123862,0.953327979039407,0.6619617531959042
3,Reg,cifar10,0.7032,0.69727315631982,0.9577139262980079,0.6719525992062574
4,D3M,cifar10,0.7114,0.7108445235851322,0.9569757775886638,0.6800424520972926
4,Reg,cifar10,0.732,0.7312094319295492,0.9600302580769757,0.702481916686333
5,D3M,cifar10,0.7178,0.7135124172655021,0.959662085583763,0.6874472193032766
5,Reg,cifar10,0.7137,0.7097135442690558,0.9594415258197238,0.6828083455149869
6,D3M,cifar10,0.6965,0.6912910778615254,0.9546869892515012,0.664580772813191
6,Reg,cifar10,0.7275,0.7261648452002409,0.9609098834321019,0.6980394296341894
7,D3M,cifar10,0.7012,0.6998957112112842,0.9566485357282135,0.6699123580470473
7,Reg,cifar10,0.7049,0.7031925297566852,0.9582639315142455,0.6735882480697107
8,D3M,cifar10,0.7025,0.7009913693032462,0.9573495221917792,0.6715288125997145
8,Reg,cifar10,0.7018,0.7053039561058352,0.960778255622782,0.6702884176136339
9,D3M,cifar10,0.6473,0.643624402874879,0.9441732298147049,0.6133713437448545
9,Reg,cifar10,0.7212,0.7179205456345171,0.961047313403515,0.6920138480631106
0,D3M,camelyon17,0.9426974837152399,0.9426489261212248,0.9843657905198234,0.8862671301838925
0,Reg,camelyon17,0.9411764705882353,0.9411579878055967,0.9834961676141749,0.8825554566744014
1,D3M,camelyon17,0.9434910557815032,0.9434818488944243,0.9843894642304708,0.8870389874152528
1,Reg,camelyon17,0.941440994610323,0.9414328793187063,0.9836444836519228,0.8829191351635209
2,D3M,camelyon17,0.9445491518698542,0.944532116812796,0.9847116899794768,0.8892961860527032
2,Reg,camelyon17,0.9418047151406937,0.9417888677633552,0.9837083103899958,0.8837681737390533
3,D3M,camelyon17,0.941507125615845,0.9414527105829079,0.9832523957462788,0.8839960628649707
3,Reg,camelyon17,0.9413748636048012,0.9413446845337596,0.9833029423767625,0.8831862355812488
4,D3M,camelyon17,0.9429620077373276,0.9429542798878416,0.9843786267180037,0.8859593986613172
4,Reg,camelyon17,0.9424329596931521,0.9424101410793447,0.9835008931719718,0.8851619637025174
5,D3M,camelyon17,0.9161789505009423,0.9156369900965398,0.9824702120604667,0.8414012065149465
5,Reg,camelyon17,0.9419700426544986,0.9419358407316472,0.9833126712090801,0.8844709388700247
6,D3M,camelyon17,0.9434249247759812,0.9433978041618547,0.9845878611218348,0.8872460270470166
6,Reg,camelyon17,0.9419369771517376,0.9419182535417188,0.9834054963839621,0.8840861279888647
7,D3M,camelyon17,0.9443507588532883,0.9443239205494216,0.9846420421239327,0.8891025757438357
7,Reg,camelyon17,0.9417385841351718,0.9417154134644588,0.9831593431498278,0.8837739375161228
8,D3M,camelyon17,0.9402175710081672,0.9402175693741228,0.9845386899544953,0.8805173796051695
8,Reg,camelyon17,0.9408127500578646,0.9408007268272844,0.9833151203644399,0.8817160839075415
9,D3M,camelyon17,0.9438547763118739,0.9438147708317333,0.9845812221614132,0.8884039116677347
9,Reg,camelyon17,0.9422676321793473,0.9422325775163094,0.9834056800706139,0.8850893479507336
