seed,data_sample_size,dataset,temp,fpr_train,fpr_id,tpr,dis_rate_train_mean,dis_rate_train_std,dis_rate_id_mean,dis_rate_id_std,dis_rate_ood_mean,dis_rate_ood_std
57,100,uci,1,0.07,0.03,0.98,0.4333999875187874,0.020160357825491575,0.42789998710155486,0.018400815379306917,0.4914999893307686,0.015451535992751517
57,100,uci,2,0.26,0.16,0.95,0.5435999828577042,0.01735051189844703,0.5386999845504761,0.016226837918153957,0.5779999893903732,0.01708800075163382
57,100,uci,3,0.13,0.11,0.55,0.5866999846696853,0.015300653515528125,0.5809999889135361,0.018681537244628434,0.6080999898910523,0.015342435321632568
57,100,uci,5,0.19,0.21,0.48,0.6215999960899353,0.014333176235115435,0.6238999956846237,0.01678659982022482,0.6368999898433685,0.015855271902811073
57,100,uci,10,0.5,0.35,0.63,0.6549999767541885,0.015329706178519118,0.6527999818325043,0.017267309939374764,0.662099974155426,0.015185191231273288
57,100,uci,20,0.34,0.23,0.38,0.6686999785900116,0.015852768362936382,0.6680999726057053,0.01579209170903437,0.6726999771595001,0.016053357288070922
57,100,cifar10,1,0.06,0.06,0.99,0.4295999869704247,0.026188548454656423,0.43179998725652696,0.028120455075672242,0.5218999859690666,0.026370249981252588
57,100,cifar10,2,0.1,0.16,0.99,0.635199983716011,0.025670213020569356,0.6357999861240387,0.02581394506737437,0.7273999810218811,0.02243301346236428
57,100,cifar10,3,0.16,0.19,0.98,0.7636999839544296,0.02133798729922287,0.7670999825000763,0.020894728068003608,0.8292999786138534,0.0187752442585374
57,100,cifar10,5,0.3,0.29,0.98,0.8772999864816665,0.014412150398616277,0.8790999877452851,0.014289505834286318,0.9118999755382537,0.013906476586380489
57,100,cifar10,10,0.35,0.28,0.78,0.951399986743927,0.009697413089737908,0.950699987411499,0.008972727926301721,0.9621999764442444,0.009008875912102397
57,100,cifar10,20,0.36,0.37,0.63,0.9731999659538269,0.00614491073804575,0.9732999670505523,0.008130801778607786,0.9775999623537064,0.007088013182672627
57,100,camelyon17,1,0.11,0.09,1.0,0.1705999956279993,0.01973930032427292,0.17209999561309813,0.018670564173826242,0.254399993121624,0.01867190297297953
57,100,camelyon17,2,0.23,0.21,1.0,0.2917999924719334,0.02085090052566321,0.289999992698431,0.020736442201274678,0.38959998965263365,0.02153694251784341
57,100,camelyon17,3,0.15,0.24,1.0,0.3762999925017357,0.019527158619996317,0.38139999061822893,0.02073740235697355,0.46919998914003375,0.021292253109222288
57,100,camelyon17,5,0.44,0.29,1.0,0.48169998824596405,0.01811380601088067,0.47759998857975006,0.017895249454832358,0.5473999851942062,0.018034418234604048
57,100,camelyon17,10,0.36,0.39,0.96,0.5806999862194061,0.018560975586695234,0.5799999874830246,0.01720464313402526,0.61319999396801,0.018701876764936107
57,100,camelyon17,20,0.33,0.31,0.81,0.6295999938249588,0.016608421812516302,0.6295999938249588,0.014691483729559753,0.649499980211258,0.015898105544771373
